system_id,system_name,sector,region,criticality,hazard_exposure,asset_fragility,cyber_physical_risk,redundancy,maintenance_capacity,governance_capacity,recovery_capacity,backup_capacity,workforce_readiness,service_demand_under_stress,social_vulnerability,failure_pressure,interdependence_exposure,resilience_capacity,cascading_infrastructure_risk,service_continuity_gap,recovery_priority_score,diagnostic_priority,scenario
CIR003,Metropolitan hospital network,Health,North America,0.96,0.68,0.5,0.7,0.44,0.48,0.54,0.52,0.46,0.56,0.92,0.72,0.406368,1.3769657952,0.4948000000000001,1.6856881379106938,0.42519999999999997,2.218508137910694,map_dependencies_and_reduce_cascading_exposure,baseline
CIR005,Telecommunications and emergency communications backbone,Communications,North America,0.9,0.7,0.52,0.78,0.42,0.46,0.48,0.44,0.4,0.5,0.88,0.66,0.4170348,1.19653164,0.44799999999999995,1.5433491919438078,0.43200000000000005,2.051549191943808,map_dependencies_and_reduce_cascading_exposure,baseline
CIR008,Local emergency operations and public warning system,Emergency Services,North America,0.86,0.66,0.48,0.68,0.44,0.5,0.6,0.58,0.46,0.62,0.82,0.68,0.337290624,1.38328411296,0.5264,1.5808580118957738,0.29359999999999997,2.0346180118957737,map_dependencies_and_reduce_cascading_exposure,baseline
CIR007,Food logistics cold-chain and distribution hub,Food Logistics,North America,0.82,0.72,0.58,0.54,0.4,0.42,0.46,0.44,0.36,0.48,0.8,0.6,0.407151648,1.1469957062399998,0.4252,1.4829966233860672,0.3748,1.9391766233860674,map_dependencies_and_reduce_cascading_exposure,baseline
CIR004,Freight and emergency transport corridor,Transport,North America,0.88,0.82,0.66,0.4,0.36,0.34,0.44,0.4,0.32,0.46,0.84,0.62,0.5429318399999999,0.91289620992,0.3828,1.4291858725083662,0.4572,1.933205872508366,map_dependencies_and_reduce_cascading_exposure,baseline
CIR002,Urban drinking water treatment and pumping system,Water,North America,0.92,0.74,0.62,0.58,0.38,0.36,0.46,0.42,0.34,0.48,0.86,0.7,0.5077814880000001,0.7247764079999999,0.4028,1.2210647866429583,0.4572,1.7510847866429582,map_dependencies_and_reduce_cascading_exposure,baseline
CIR001,Regional electric distribution grid,Energy,North America,0.94,0.78,0.58,0.72,0.46,0.42,0.5,0.48,0.44,0.52,0.88,0.64,0.532420512,0.38472398399999996,0.4664,0.8637878173419877,0.4136,1.371547817341988,strengthen_cyber_physical_resilience,baseline
CIR006,Payment and municipal finance operations platform,Finance,North America,0.78,0.48,0.44,0.82,0.52,0.56,0.58,0.54,0.5,0.6,0.7,0.48,0.21201523199999997,0.96338712096,0.548,1.013067063831753,0.1519999999999999,1.357267063831753,map_dependencies_and_reduce_cascading_exposure,baseline
CIR003,Metropolitan hospital network,Health,North America,0.96,0.6528,0.46,0.644,0.78,0.64,0.76,0.7,0.78,0.7000000000000001,0.8464,0.6624,0.353253998592,0.9349381672639858,0.726,1.0396975473998558,0.12040000000000006,1.4543175473998557,map_dependencies_and_reduce_cascading_exposure,dependency_mapping_and_redundancy
CIR005,Telecommunications and emergency communications backbone,Communications,North America,0.9,0.6719999999999999,0.47840000000000005,0.7176,0.76,0.62,0.7,0.62,0.72,0.64,0.8096,0.6072000000000001,0.3620060301312001,0.8122227890909184,0.6792,0.9638594060892793,0.13039999999999996,1.3559394060892793,map_dependencies_and_reduce_cascading_exposure,dependency_mapping_and_redundancy
