scenario,system_id,system_name,domain,region,stress_type,stress_intensity,stress_variability,system_criticality,robustness_capacity,recovery_capacity,adaptive_capacity,redundancy_capacity,modularity_capacity,monitoring_capacity,learning_capacity,experimentation_capacity,optionality_capacity,failure_containment,harm_bounding_capacity,justice_safeguard_capacity,stress_reduction,robustness_gain,recovery_gain,adaptive_gain,redundancy_gain,modularity_gain,learning_gain,experimentation_gain,optionality_gain,containment_gain,justice_gain,stress_load,robustness_score,resilience_score,antifragility_potential,ethical_antifragility_limit,bounded_antifragility_score,brittleness_risk,sustainable_resilience_score,system_response_gap,antifragility_suitability,design_priority,stress_band,response_band
baseline,RRA005,Monoculture agricultural region,food_system,Sub-Saharan Africa,drought_heat,0.88,0.64,0.74,0.42,0.36,0.38,0.3,0.28,0.34,0.32,0.2,0.24,0.26,0.34,0.3,0,0,0,0,0,0,0,0,0,0,0,1.5054336,0.42,0.3286,0.26680000000000004,0.30800000000000005,0.08217440000000002,1.1425656,0.30880339200000007,1.1966302079999998,0.012669648992000003,resilience_and_brittleness_reduction,elevated,lower
baseline,RRA001,Coastal flood defense corridor,critical_infrastructure,North America,storm_surge,0.84,0.42,0.88,0.78,0.48,0.4,0.52,0.38,0.58,0.34,0.18,0.22,0.5,0.62,0.54,0,0,0,0,0,0,0,0,0,0,0,1.3741728,0.78,0.46660000000000007,0.3224,0.5648,0.18209152,0.7563047999999999,0.5167484736000001,0.8574243263999999,0.04697961216,robustness_for_critical_lifeline,elevated,moderate
baseline,RRA003,Public health emergency system,public_health,Latin America,compound_heat_disease,0.76,0.58,0.92,0.54,0.68,0.62,0.5,0.46,0.56,0.6,0.32,0.38,0.58,0.56,0.48,0,0,0,0,0,0,0,0,0,0,0,1.3411872000000002,0.54,0.5760000000000001,0.4668,0.5356000000000001,0.25001808000000003,0.7883872000000002,0.49692325440000007,0.8442639456000002,0.07163518028159999,robustness_for_critical_lifeline,elevated,moderate
baseline,RRA008,Community-led adaptation network,community_resilience,Pacific,cyclone_sea_level,0.8,0.66,0.76,0.48,0.7,0.72,0.58,0.66,0.62,0.76,0.52,0.58,0.7,0.64,0.68,0,0,0,0,0,0,0,0,0,0,0,1.387456,0.48,0.6676,0.6379999999999999,0.6676000000000001,0.4259288,0.798648,0.5690591840000001,0.8183968159999999,0.17352339311999998,resilience_and_brittleness_reduction,elevated,moderate
baseline,RRA007,Centralized cloud-dependent civic platform,digital_infrastructure,Asia,cyber_outage,0.7,0.5,0.84,0.58,0.42,0.46,0.34,0.3,0.64,0.44,0.24,0.3,0.28,0.46,0.42,0,0,0,0,0,0,0,0,0,0,0,1.169,0.58,0.40540000000000004,0.3456,0.406,0.1403136,0.690148,0.411524448,0.757475552,0.021136840704000005,robustness_for_critical_lifeline,moderate,moderate
baseline,RRA002,Distributed microgrid network,energy_system,Europe,heat_peak_load,0.68,0.55,0.78,0.62,0.74,0.68,0.76,0.72,0.7,0.66,0.54,0.6,0.74,0.68,0.64,0,0,0,0,0,0,0,0,0,0,0,1.137504,0.62,0.7227999999999999,0.6423999999999999,0.6788000000000001,0.43606111999999997,0.4666800000000001,0.6320670015999998,0.5054369984000002,0.18425326564479996,resilience_and_brittleness_reduction,moderate,moderate
baseline,RRA006,Restored watershed mosaic,watershed_ecology,South America,flood_drought,0.62,0.6,0.7,0.56,0.66,0.7,0.62,0.76,0.58,0.72,0.5,0.54,0.68,0.66,0.6,0,0,0,0,0,0,0,0,0,0,0,1.0316800000000002,0.56,0.6708000000000001,0.6268,0.6428,0.40290704000000005,0.41301600000000005,0.5822592672,0.44942073280000017,0.16849572412800004,resilience_and_brittleness_reduction,moderate,moderate
baseline,RRA004,Startup innovation ecosystem,innovation_system,Global,market_volatility,0.52,0.82,0.42,0.36,0.44,0.74,0.48,0.72,0.62,0.86,0.88,0.84,0.82,0.4,0.38,0,0,0,0,0,0,0,0,0,0,0,0.85637759999999985,0.36,0.6158,0.8148,0.48519999999999996,0.39534095999999996,0.37413359999999984,0.4757973728,0.38058022719999984,0.24929410255679996,resilience_and_brittleness_reduction,moderate,moderate
bounded_antifragility,RRA005,Monoculture agricultural region,food_system,Sub-Saharan Africa,drought_heat,0.86239999999999994,0.64,0.74,0.45999999999999996,0.44,0.54,0.4,0.46,0.34,0.56,0.46,0.48,0.48,0.56,0.48,0.02,0.04,0.08,0.16,0.1,0.18,0.24,0.26,0.24,0.22,0.18,1.475324928,0.45999999999999996,0.45099999999999996,0.4804,0.5136000000000001,0.24673344000000003,1.008024928,0.4198320191999999,1.0554929088000002,0.0702302063616,resilience_and_brittleness_reduction,elevated,moderate
bounded_antifragility,RRA001,Coastal flood defense corridor,critical_infrastructure,North America,storm_surge,0.8231999999999999,0.42,0.88,0.8200000000000001,0.5599999999999999,0.56,0.62,0.56,0.58,0.5800000000000001,0.44,0.45999999999999996,0.72,0.84,0.72,0.02,0.04,0.08,0.16,0.1,0.18,0.24,0.26,0.24,0.22,0.18,1.3466893439999998,0.8200000000000001,0.589,0.536,0.7703999999999999,0.4129343999999999,0.6243893439999998,0.639708192,0.7069811519999999,0.15341338828799997,robustness_for_critical_lifeline,elevated,moderate
