scenario,system_id,system_name,domain,region,primary_hazard,hazard_probability,expected_loss_index,probability_uncertainty,loss_uncertainty,dependency_density,feedback_strength,threshold_sensitivity,adaptive_behavior,monitoring_capacity,redundancy_capacity,flexibility_capacity,institutional_learning,adaptive_governance_capacity,social_vulnerability,criticality_index,probability_reduction,loss_reduction,uncertainty_reduction,dependency_reduction,monitoring_gain,redundancy_gain,flexibility_gain,learning_gain,adaptive_governance_gain,expected_risk,combined_uncertainty,uncertainty_adjusted_risk,complexity_multiplier,systemic_risk,robust_response_capacity,vulnerability_weighted_systemic_risk,resilience_gap,risk_band,capacity_band,priority_class
adaptive_governance,RUC002,Dryland food-water system,food_water_system,Sub-Saharan Africa,drought,0.7776000000000001,0.6808000000000001,0.324,0.378,0.5704,0.69,0.76,0.61,0.56,0.45999999999999996,0.58,0.6000000000000001,0.6,0.74,0.72,0.04,0.08,0.1,0.08,0.12,0.1,0.16,0.2,0.22,0.5293900800000001,0.351,0.7152059980800001,1.6541120000000002,1.1830308238961054,0.5596,1.6538392348203905,1.0942392348203906,elevated,moderate,urgent_systemic_risk_reduction
adaptive_governance,RUC004,Globalized medical supply chain,health_supply_chain,Global,supply_disruption,0.6528,0.6992,0.279,0.35100000000000003,0.8096,0.72,0.58,0.64,0.66,0.48,0.62,0.7,0.7,0.52,0.9,0.04,0.08,0.1,0.08,0.12,0.1,0.16,0.2,0.22,0.4564377600000001,0.31500000000000006,0.6002156544000001,1.692288,1.0157377493532673,0.6328,1.3855475491378046,0.7527475491378046,elevated,moderate,urgent_systemic_risk_reduction
adaptive_governance,RUC001,Coastal infrastructure network,urban_infrastructure,North America,storm_surge,0.6911999999999999,0.7176,0.234,0.30600000000000005,0.6808000000000001,0.58,0.63,0.52,0.78,0.55,0.66,0.75,0.74,0.58,0.8,0.04,0.08,0.1,0.08,0.12,0.1,0.16,0.2,0.22,0.49600511999999997,0.27,0.6299265023999999,1.6058240000000001,1.0115510957899776,0.6984,1.3775707442906233,0.6791707442906233,elevated,elevated,capacity_building_priority
adaptive_governance,RUC005,Urban public health system,public_health,Latin America,compound_heat_disease,0.6719999999999999,0.6716,0.29700000000000004,0.333,0.6072000000000001,0.64,0.62,0.57,0.62,0.52,0.64,0.64,0.65,0.82,0.78,0.04,0.08,0.1,0.08,0.12,0.1,0.16,0.2,0.22,0.4513151999999999,0.31500000000000006,0.5934794879999998,1.609216,0.9550366877614077,0.6136,1.3756119241710256,0.7620119241710256,elevated,moderate,urgent_systemic_risk_reduction
adaptive_governance,RUC003,Regional electricity grid,critical_infrastructure,Europe,heat_peak_load,0.6144,0.644,0.18000000000000002,0.25200000000000006,0.7544,0.66,0.55,0.5,0.84,0.6799999999999999,0.7000000000000001,0.8200000000000001,0.7999999999999999,0.42,0.86,0.04,0.08,0.1,0.08,0.12,0.1,0.16,0.2,0.22,0.39567359999999996,0.21600000000000003,0.48113909759999995,1.6216320000000004,0.7802305571192834,0.7708,1.0296484197747187,0.2588484197747186,elevated,elevated,capacity_building_priority
adaptive_governance,RUC007,Digital municipal services platform,digital_infrastructure,Asia,cyber_outage,0.528,0.6072000000000001,0.216,0.315,0.7912,0.6,0.48,0.72,0.74,0.5,0.6,0.76,0.72,0.4,0.84,0.04,0.08,0.1,0.08,0.12,0.1,0.16,0.2,0.22,0.32060160000000004,0.2655,0.40572132480000006,1.653536,0.6708748165244929,0.6668000000000001,0.8776115999846806,0.21081159998468058,elevated,elevated,complexity_governance_priority
adaptive_governance,RUC006,Watershed governance system,watershed_ecology,South America,flood_landslide,0.5568,0.552,0.27,0.28800000000000003,0.4968000000000001,0.7,0.68,0.62,0.5800000000000001,0.58,0.68,0.7,0.68,0.48,0.62,0.04,0.08,0.1,0.08,0.12,0.1,0.16,0.2,0.22,0.3073536,0.279,0.3931052544,1.619104,0.6364782898200576,0.642,0.81841942783486,0.17641942783485998,elevated,moderate,urgent_systemic_risk_reduction
adaptive_governance,RUC008,Regenerative regional transition,regional_transition,Europe,heat_drought,0.40319999999999995,0.4416,0.198,0.216,0.3496,0.46,0.42,0.54,0.9,0.7999999999999999,0.9,0.96,0.94,0.3,0.44,0.04,0.08,0.1,0.08,0.12,0.1,0.16,0.2,0.22,0.17805311999999998,0.20700000000000002,0.21491011584,1.438688,0.3091886047376179,0.8999999999999999,0.3666729501304359,0,moderate,elevated,monitor_and_learn
baseline,RUC002,Dryland food-water system,food_water_system,Sub-Saharan Africa,drought,0.81,0.74,0.36,0.42,0.62,0.69,0.76,0.61,0.44,0.36,0.42,0.4,0.38,0.74,0.72,0,0,0,0,0,0,0,0,0,0.5994,0.39,0.8331660000000002,1.668,1.3897208880000003,0.40040000000000003,1.9427853303555842,1.5423853303555841,elevated,moderate,urgent_systemic_risk_reduction
baseline,RUC004,Globalized medical supply chain,health_supply_chain,Global,supply_disruption,0.68,0.76,0.31,0.39,0.88,0.72,0.58,0.64,0.54,0.38,0.46,0.5,0.48,0.52,0.9,0,0,0,0,0,0,0,0,0,0.5168,0.35,0.6976800000000001,1.712,1.1944281600000002,0.4736,1.6292955644928002,1.1556955644928002,elevated,moderate,urgent_systemic_risk_reduction
