scenario,system_id,system_name,domain,region,hazard_type,hazard_intensity,exposure_index,social_vulnerability,infrastructure_vulnerability,ecological_vulnerability,adaptive_capacity,governance_capacity,ecological_buffer_capacity,redundancy_index,early_warning_capacity,transformation_capacity,supply_chain_dependency,critical_infrastructure_dependency,social_inequality_index,hazard_reduction,vulnerability_reduction,adaptive_capacity_gain,governance_capacity_gain,ecological_buffer_gain,redundancy_gain,early_warning_gain,transformation_gain,hazard_exposure_load,composite_vulnerability,composite_capacity,base_risk,cascade_multiplier,systemic_risk_score,resilience_capacity_score,justice_adjusted_vulnerability,resilience_gap,transformation_readiness,risk_band,resilience_band,priority_class
baseline,SYS007,Urban informal settlement,urban_social_system,Latin America,heat_flood,0.84,0.91,0.83,0.77,0.61,0.36,0.39,0.33,0.28,0.42,0.4,0.55,0.58,0.86,0,0,0,0,0,0,0,0,0.7644,0.7535999999999999,0.358,0.86057008128,1.6658,1.433537641396224,0.3632,0.9804335999999999,1.070337641396224,0.3655,elevated,lower,urgent_risk_reduction
baseline,SYS002,Dryland agricultural basin,food_water_system,Sub-Saharan Africa,drought,0.91,0.83,0.72,0.5,0.76,0.42,0.44,0.38,0.34,0.36,0.46,0.7,0.48,0.74,0,0,0,0,0,0,0,0,0.7553,0.66,0.4016,0.7502727232,1.6376,1.22864661151232,0.40520000000000006,0.83094,0.82344661151232,0.42300000000000004,elevated,moderate,urgent_risk_reduction
baseline,SYS005,Island food-energy-water system,island_system,Pacific,cyclone_sea_level,0.88,0.79,0.68,0.62,0.7,0.46,0.52,0.57,0.36,0.5,0.58,0.73,0.69,0.66,0,0,0,0,0,0,0,0,0.6952,0.6659999999999999,0.49699999999999994,0.5825762096000001,1.6847999999999999,0.9815243979340801,0.503,0.8198459999999999,0.4785243979340801,0.497,elevated,moderate,urgent_risk_reduction
baseline,SYS001,Coastal metropolitan district,urban_infrastructure,North America,storm_surge,0.82,0.88,0.54,0.66,0.48,0.62,0.58,0.52,0.46,0.7,0.55,0.61,0.78,0.57,0,0,0,0,0,0,0,0,0.7215999999999999,0.5628000000000001,0.5692,0.48582025958399994,1.6282,0.7910125466546687,0.5694,0.6750786000000001,0.22161254665466867,0.5535,elevated,moderate,urgent_risk_reduction
baseline,SYS004,Industrial river corridor,industrial_region,Europe,compound_pollution_flood,0.76,0.74,0.49,0.71,0.69,0.57,0.63,0.34,0.51,0.6,0.49,0.67,0.72,0.46,0,0,0,0,0,0,0,0,0.5624,0.61239999999999994,0.5207999999999999,0.4345451537920001,1.6446,0.7146529599263234,0.5202,0.7109964,0.1944529599263234,0.5449999999999999,elevated,moderate,urgent_risk_reduction
baseline,SYS006,Inland logistics hub,supply_chain_system,Asia,heat_flood,0.73,0.86,0.41,0.64,0.39,0.65,0.59,0.41,0.6,0.62,0.54,0.88,0.76,0.44,0,0,0,0,0,0,0,0,0.6278,0.4784,0.5652,0.40355506329599994,1.6424000000000003,0.6627988359573505,0.5656000000000001,0.5520735999999999,0.09719883595735035,0.5865,elevated,moderate,urgent_risk_reduction
baseline,SYS003,Mountain watershed region,watershed_ecology,South America,flood_landslide,0.68,0.61,0.45,0.52,0.58,0.55,0.5,0.64,0.42,0.48,0.52,0.44,0.4,0.43,0,0,0,0,0,0,0,0,0.4148,0.5062,0.5312,0.292893001088,1.4618,0.42815098899043835,0.5252,0.5823831,0,0.501,moderate,moderate,monitor_and_maintain
baseline,SYS008,Regenerative peri-urban region,regional_transition,Europe,heat_drought,0.57,0.52,0.31,0.36,0.29,0.78,0.74,0.81,0.66,0.72,0.76,0.34,0.39,0.28,0,0,0,0,0,0,0,0,0.2964,0.3208,0.7534,0.09654023059200001,1.3336,0.1287460515174912,0.7506000000000002,0.3522384,0,0.739,lower,elevated,transformation_leverage
deep_resilience_transformation,SYS007,Urban informal settlement,urban_social_system,Latin America,heat_flood,0.756,0.91,0.6474,0.6006,0.4758,0.58,0.5900000000000001,0.55,0.46,0.6,0.66,0.55,0.58,0.86,0.1,0.22,0.22,0.2,0.22,0.18,0.18,0.26,0.68796,0.587808,0.5671999999999999,0.47276838391910403,1.6206120000000002,0.766174116199907,0.5764,0.7647382079999999,0.18977411619990703,0.5865,elevated,moderate,urgent_risk_reduction
deep_resilience_transformation,SYS002,Dryland agricultural basin,food_water_system,Sub-Saharan Africa,drought,0.8190000000000001,0.83,0.5616,0.39,0.5928,0.64,0.64,0.6,0.52,0.54,0.72,0.7,0.48,0.74,0.1,0.22,0.22,0.2,0.22,0.18,0.18,0.26,0.67977,0.5148,0.6108,0.40076530996320003,1.595448,0.6394002122501675,0.6184000000000001,0.6481332,0.02100021225016746,0.644,elevated,moderate,urgent_risk_reduction
deep_resilience_transformation,SYS005,Island food-energy-water system,island_system,Pacific,cyclone_sea_level,0.792,0.79,0.5304000000000001,0.48360000000000003,0.5459999999999999,0.68,0.72,0.7899999999999999,0.54,0.6799999999999999,0.84,0.73,0.69,0.66,0.1,0.22,0.22,0.2,0.22,0.18,0.18,0.26,0.62568,0.5194799999999999,0.7061999999999999,0.27931808279232007,1.641064,0.458378850219496,0.7162,0.6394798799999999,0,0.718,moderate,elevated,transformation_leverage
deep_resilience_transformation,SYS001,Coastal metropolitan district,urban_infrastructure,North America,storm_surge,0.738,0.88,0.4212,0.5148,0.3744,0.84,0.78,0.74,0.64,0.8799999999999999,0.81,0.61,0.78,0.57,0.1,0.22,0.22,0.2,0.22,0.18,0.18,0.26,0.64944,0.43898400000000004,0.7784,0.20709268320153604,1.590976,0.329479488749247,0.7826000000000001,0.526561308,0,0.7745,moderate,elevated,transformation_leverage
deep_resilience_transformation,SYS004,Industrial river corridor,industrial_region,Europe,compound_pollution_flood,0.684,0.74,0.3822,0.5538,0.5382,0.7899999999999999,0.8300000000000001,0.56,0.69,0.78,0.75,0.67,0.72,0.46,0.1,0.22,0.22,0.2,0.22,0.18,0.18,0.26,0.50616,0.477672,0.73,0.20194338407040005,1.598444,0.32279519060702655,0.7334,0.554577192,0,0.766,moderate,elevated,transformation_leverage
deep_resilience_transformation,SYS006,Inland logistics hub,supply_chain_system,Asia,heat_flood,0.657,0.86,0.3198,0.49920000000000003,0.3042,0.87,0.79,0.63,0.78,0.8,0.8,0.88,0.76,0.44,0.1,0.22,0.22,0.2,0.22,0.18,0.18,0.26,0.56502,0.373152,0.7744000000000002,0.1750336421898238,1.6089600000000002,0.28162212893773897,0.7788,0.4306174079999999,0,0.8075,moderate,elevated,transformation_leverage
deep_resilience_transformation,SYS003,Mountain watershed region,watershed_ecology,South America,flood_landslide,0.6120000000000001,0.61,0.35100000000000003,0.4056,0.45239999999999997,0.77,0.7,0.86,0.6,0.6599999999999999,0.78,0.44,0.4,0.43,0.1,0.22,0.22,0.2,0.22,0.18,0.18,0.26,0.37332000000000004,0.394836,0.7404,0.13517895756499204,1.425368,0.19267976038649756,0.7384000000000001,0.45425881800000006,0,0.722,lower,elevated,transformation_leverage
deep_resilience_transformation,SYS008,Regenerative peri-urban region,regional_transition,Europe,heat_drought,0.513,0.52,0.24180000000000001,0.2808,0.22619999999999998,1,0.94,1,0.8400000000000001,0.8999999999999999,1,0.34,0.39,0.28,0.1,0.22,0.22,0.2,0.22,0.18,0.18,0.26,0.26676,0.250224,0.9543999999999999,0.015208044793344028,1.312304,0.01995757801448454,0.9547999999999999,0.274745952,0,0.953,lower,elevated,transformation_leverage
ecological_buffer_restoration,SYS007,Urban informal settlement,urban_social_system,Latin America,heat_flood,0.7728,0.91,0.7636,0.7084,0.5612,0.43,0.45,0.5700000000000001,0.34,0.48,0.48000000000000004,0.55,0.58,0.86,0.08,0.08,0.07,0.06,0.24,0.06,0.06,0.08,0.7032480000000001,0.6933119999999999,0.4616,0.6411365605392384,1.6493680000000002,1.0574701265834827,0.46120000000000005,0.9019989119999998,0.5962701265834827,0.43450000000000005,elevated,moderate,urgent_risk_reduction
